volunteer_zip_code,voter_zip_code,messaged,not_messaged,all
07052,07926,0,1,1
07052,07932,0,1,1
07052,07934,0,1,1
07052,07960,0,1,1
07052,07962,0,1,1
07052,08052,0,1,1
07052,10025,0,1,1
07052,14228,0,1,1
07052,18938,0,1,1
07052,29412,0,1,1
07052,33480,0,1,1
07052,34711,0,1,1
07052,37205,0,2,2
07052,43015,0,1,1
07052,44087,0,1,1
07052,44114,0,2,2
07052,44118,0,1,1
07052,44212,0,1,1
07052,44223,0,1,1
07052,44234,0,1,1
07052,44236,0,1,1
07052,48380,0,2,2
07052,60640,0,1,1
07052,80305,0,1,1
07052,80424,0,1,1
07052,80498,0,1,1
07052,81611,0,1,1
07052,95820,0,1,1
07059,07950,0,1,1
07059,90024,0,1,1
07066,00613,0,1,1
07066,07081,0,1,1
07066,07083,1,2,3
07066,07090,1,2,3
07066,10104,0,1,1
07066,19118,0,1,1
07066,23188,0,1,1
07066,32796,0,1,1
07078,03255,0,2,2
07078,03257,0,1,1
07078,03782,0,3,3
07078,06459,0,1,1
07078,06830,0,1,1
07078,07009,0,2,2
07078,07023,0,2,2
07078,07032,0,2,2
07078,07035,0,1,1
07078,07039,0,16,16
07078,07041,0,4,4
07078,07042,0,1,1
07078,07043,0,1,1
07078,07052,0,2,2
07078,07058,0,2,2
07078,07068,0,1,1
07078,07078,0,90,90
07078,07079,0,6,6
07078,07081,0,2,2
07078,07090,0,7,7
07078,07108,0,1,1
07078,07109,0,4,4
07078,07302,0,12,12
07078,07304,0,1,1
07078,07306,0,1,1
07078,07417,0,1,1
07078,07450,0,1,1
07078,07460,0,1,1
07078,07726,0,1,1
07078,07748,0,1,1
07078,07755,0,2,2
07078,07853,0,2,2
07078,07871,0,1,1
07078,07901,0,9,9
07078,07921,0,1,1
07078,07928,0,3,3
07078,07931,0,2,2
07078,07932,0,1,1
07078,07936,0,1,1
07078,07940,0,4,4
07078,07960,0,1,1
07078,07962,0,1,1
07078,08833,0,3,3
07078,10001,0,3,3
07078,10003,0,3,3
07078,10006,0,2,2
07078,10007,0,2,2
07078,10011,0,1,1
07078,10012,0,1,1
07078,10017,0,2,2
07078,10018,0,1,1
07078,10021,0,6,6
07078,10022,0,1,1
07078,10024,0,1,1
07078,10028,0,6,6
07078,10128,0,3,3
07078,10169,0,2,2
07078,10514,0,1,1
07078,10523,0,3,3
07078,10538,0,1,1
07078,10573,0,1,1
07078,10583,0,2,2
07078,10604,0,1,1
07078,10605,0,1,1
07078,11050,0,2,2
07078,11105,0,1,1
07078,11385,0,1,1
07078,11563,0,1,1
07078,11568,0,2,2
07078,11797,0,1,1
07078,11932,0,2,2
07078,15108,0,2,2
07078,18413,0,1,1
07078,19047,0,1,1
07078,19102,0,1,1
07078,20197,0,1,1
07078,27514,0,2,2
07078,33140,0,1,1
07078,34105,0,1,1
07078,53115,0,1,1
07078,80939,0,2,2
07079,11222,0,1,1
07079,19143,0,3,3
07079,80238,0,3,3
07090,01057,0,2,2
07090,02110,0,1,1
