ZCTA5CE10,longt,lat
3873,-71.18,42.93
3874,-70.86,42.89
3875,-71.19,43.90
3878,-70.89,43.25
3882,-71.04,43.75
3883,-71.31,43.81
3884,-71.15,43.28
3885,-70.90,43.02
3886,-71.29,43.86
3887,-71.06,43.49
3890,-71.20,43.81
3894,-71.17,43.61
3901,-70.84,43.30
3902,-70.64,43.22
3903,-70.79,43.15
3904,-70.73,43.11
3905,-70.69,43.09
3906,-70.78,43.35
3907,-70.61,43.25
3908,-70.75,43.24
3909,-70.68,43.17
3910,-70.62,43.17
3911,-70.63,43.14
4001,-70.92,43.53
4002,-70.68,43.50
4003,-69.96,43.73
4005,-70.49,43.49
4006,-70.34,43.44
4008,-69.86,44.04
4009,-70.73,44.05
4010,-70.92,43.93
4011,-69.98,43.90
4015,-70.52,43.97
4017,-70.10,43.73
4019,-70.10,43.68
4020,-70.81,43.77
4021,-70.26,43.80
4022,-70.81,43.98
4024,-70.68,43.83
4027,-70.91,43.40
4029,-70.69,43.90
4030,-70.69,43.59
4032,-70.09,43.85
4037,-70.95,44.09
4038,-70.46,43.70
4039,-70.34,43.89
4040,-70.72,44.11
4041,-70.83,43.86
4042,-70.62,43.63
4043,-70.57,43.40
4046,-70.49,43.42
4047,-70.91,43.74
4048,-70.78,43.69
4049,-70.70,43.74
4050,-70.15,43.68
4051,-70.88,44.19
4055,-70.62,43.97
4056,-70.86,43.65
4057,-70.70,44.10
4061,-70.74,43.63
4062,-70.40,43.80
4063,-70.40,43.50
4064,-70.39,43.53
4066,-69.97,43.77
4068,-70.94,43.84
4069,-70.18,43.90
4071,-70.45,43.93
4072,-70.46,43.54
4073,-70.74,43.41
4074,-70.36,43.59
4076,-70.84,43.55
4079,-69.97,43.79
4083,-70.81,43.47
4084,-70.57,43.77
4085,-70.63,43.77
4086,-69.96,43.96
4087,-70.75,43.57
4088,-70.72,44.19
4090,-70.63,43.33
4091,-70.75,43.83
4092,-70.35,43.70
4093,-70.54,43.64
4095,-70.92,43.64
4096,-70.16,43.79
4097,-70.24,43.85
4101,-70.26,43.66
4102,-70.31,43.66
4103,-70.29,43.69
4105,-70.27,43.74
4106,-70.29,43.63
4107,-70.23,43.59
4108,-70.19,43.66
4109,-70.20,43.66
4110,-70.19,43.75
4210,-70.25,44.09
