"statetownid","x","y","pc11_state_id","pc11_town_id","polemp_all","emp_all","polemp_051","polemp_052","polemp_061","polemp_062","polemp_071","polemp_072","polemp_081","polemp_089","polemp_091","polemp_099","polemp_101","polemp_104","polemp_105","polemp_106","polemp_110","polemp_120","polemp_131","polemp_139","polemp_141","polemp_151","polemp_170","polemp_191","polemp_192","polemp_201","polemp_202","polemp_203","polemp_210","polemp_221","polemp_222","polemp_231","polemp_239","polemp_241","polemp_242","polemp_243","polemp_251","polemp_252","polemp_259","polemp_261","polemp_262","polemp_263","polemp_264","polemp_266","polemp_271","polemp_272","polemp_273","polemp_274","polemp_275","polemp_279","polemp_281","polemp_282","polemp_291","polemp_292","polemp_293","polemp_302","polemp_303","polemp_304","polemp_309","polemp_325","polemp_351","polemp_352"
"01800027",74.8394322415236,33.7199937883919,"01","800027",219,3462,0,0,0,0,0,0,0,0,0,0,38,0,4,0,0,3,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"01800028",75.3184829294965,34.0348974368217,"01","800028",72,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"01800029",75.2735412580353,33.8608262846065,"01","800029",176,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
"01800030",75.1146705498152,33.7797321493831,"01","800030",487,3756,0,0,0,0,0,0,44,0,0,0,12,0,3,13,1,1,3,69,145,0,34,0,0,0,0,0,2,0,0,0,8,0,1,1,42,0,25,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,74,0
"01800031",75.0509475487232,33.7959948848096,"01","800031",139,1570,0,0,0,0,0,0,7,0,0,0,2,0,1,18,0,0,0,30,36,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800032",75.2046464555692,33.7644824769336,"01","800032",94,1278,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,41,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800033",75.1586203970515,33.7334239494473,"01","800033",2021,20260,0,0,0,0,0,0,96,0,0,0,8,0,0,72,48,30,15,535,635,0,2,0,2,0,4,0,0,0,3,0,199,0,0,28,229,0,57,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,39,1
"01800034",75.2246890685059,33.6872337086088,"01","800034",203,1763,0,0,0,0,0,0,0,0,0,0,1,0,15,9,5,0,0,64,73,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"01800035",75.2390447384307,33.7859297438312,"01","800035",57,759,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800036",75.279007796637,33.6924020429257,"01","800036",98,801,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,0,27,31,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800037",75.3039718874495,33.5663775695522,"01","800037",49,783,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"01800038",75.1688031132761,33.5921348801951,"01","800038",108,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,2,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"01800039",75.2257763058703,33.5532375976816,"01","800039",365,2886,0,0,0,0,0,0,1,0,0,0,1,0,6,25,0,0,0,178,95,2,0,0,0,0,0,0,0,0,6,0,17,0,0,0,16,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"01800040",75.0120990857047,33.6544239455741,"01","800040",324,2924,0,0,0,0,0,0,0,0,0,0,0,0,114,23,0,1,19,0,93,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,41,3,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
"01800041",75.063980581689,33.7275314788958,"01","800041",150,2045,0,0,0,0,0,0,10,0,0,1,0,0,1,25,0,0,3,0,64,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
"01800042",75.0293062542341,33.7615372802923,"01","800042",54,634,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
