id,state,district,x,y
3908,Karnataka,Dakshin Kannad,75.10793,13.08014
3909,Karnataka,Dharwad,75.4923,15.11315
3910,Karnataka,Gulbarga,76.91079,17.0049
3911,Karnataka,Hassan,76.16,12.93758
3912,Karnataka,Kodagu,75.82824,12.27301
3913,Karnataka,Kolar,78.00586,13.3808
3914,Karnataka,Mandya,76.85599,12.54001
3915,Karnataka,Mysore,76.78744,12.02586
3916,Karnataka,Raichur,76.65481,15.81551
3917,Karnataka,Shimoga,75.38787,13.99403
3918,Karnataka,Tumkur,76.95487,13.36606
3919,Karnataka,Uttar Kannad,74.62699,14.7588
4001,Kerala,Alleppey,76.48494,9.428579
4002,Kerala,Cannanore,75.47615,12.09535
4003,Kerala,Ernakulam,76.5763,10.06342
4006,Kerala,Kottayam,76.93148,9.794545
4007,Kerala,Kozhikode,75.93038,11.53713
4008,Kerala,Malappuram,76.16312,11.14606
4009,Kerala,Palakkad (Palghat),76.5746,10.80239
4011,Kerala,Kollam (Quilon),76.94423,9.127198
4012,Kerala,Trissur (Trichur),76.31745,10.48208
4013,Kerala,Thiruvananthapuram (Triv),77.01774,8.614494
